Place ID,Place Name,Author,Author Rating,Date,Review Text
ChIJfW8OLW63yhQR082EnT3lqSs,Lokanta by Divan İstanbul,B.,5,bir yıl önce,"İçeri girdiğimiz andan itibaren herşey mükemmeldi.Ambiyansı çok güzel üfleme avizeler farklı bir hava katmış buraya.Hem modern hem etnik esintilerle işlenmiş.Herşey özenle düşünülmüştü. Bu yıl Michelin yıldızını almış.Kısacası herşey muhteşemdi, çalışanlar güleryüzlğ ilgiliyi.Burayı deneyimlemenizi tavsiye ederim ."
ChIJfW8OLW63yhQR082EnT3lqSs,Lokanta by Divan İstanbul,D. D.,5,12 ay önce,"Divan İstanbul 1956’den beri hizmet veren, ülkenin en prestijli otellerinden. Otelin içindeki Lokanta by Divan ise Gault&Millau Rehberi’nden iki şapka almış. Koç Grubu Türkiye’nin en önde gelen şirketi. Temsiliyet duygusu ve sorumluluğu ile girdikleri her sektörde üst düzey özenle hareket ediyorlar. Bu anlayış Lokanta by Divan’ın her köşesine yansımış. Hizmet kusursuz, ambiyans İstanbul’daki en etkileyici 5-10 mekan arasında. Alanın merkezinde piyano yarımşar saatlik seanslarla yemeğe fon oluşturuyor. Tavanda murano camlarından avize, masif ahşap kaplı duvarlar, özel üretim mobilyalar ve etkileyici bir bar."
ChIJU8noSZW5yhQR9q4nVHACuIk,Balkan Lokantası Sirkeci,A. Y.,5,3 ay önce,"Balkan Lokantası’nı iftar için ailecek tercih ettik ve gerçekten çok memnun kaldık. Öncelikle fiyatlar günümüz şartlarına göre oldukça uygun. Buna rağmen porsiyonlar oldukça doyurucu ve yemeklerin lezzeti gerçekten başarılıydı. Ev yemekleri tadında, sıcak ve özenli hazırlanmış yemekler sunuyorlar.

İftar saati olmasına rağmen mekan oldukça düzenliydi. Yoğunluk olmasına rağmen çalışanların sabırlı, ilgili ve güler yüzlü olması dikkat çekiciydi. Servis konusunda da ellerinden geleni yapıyorlar ve müşterilerle iletişimleri oldukça iyi.

Mekanın temizliği de bizim için önemliydi; özellikle lavaboların temiz ve düzenli olması güzel bir detaydı. Ailece rahatça gelinebilecek, samimi ve sıcak bir lokanta atmosferi var.

Hem lezzetli yemek yemek hem de uygun fiyatlı bir iftar yapmak isteyenlere gönül rahatlığıyla tavsiye ederim. Tekrar gitmek isteyeceğimiz mekanlardan biri oldu. 👍"
ChIJU8noSZW5yhQR9q4nVHACuIk,Balkan Lokantası Sirkeci,B. Y.,4,5 ay önce,"Türkiye’nin bir çok yerine gittim ama bu lokantadan ucuz ve kaliteli nadir mekan vardır.
Fotoğrafı attığım menüyü dün yedim. 09.01.2026 . 433 tl tuttu. Menü gayet doyurucu idi. Tatlıyı o kadar beğenmedim. Üstü kurumuştu. Benim hatam tatlı için farklı bir yer denenebilirdi. Teşekkürler."
ChIJU8noSZW5yhQR9q4nVHACuIk,Balkan Lokantası Sirkeci,E. Ö.,5,2 ay önce,"Bu civarda uygun fiyata yemek yiyebilmek için en güzel adres. Öğlen vakti  dolu oluyor.  Fiyatlar ve yemekleri gayet iyi, güzel bir mekan.

porsiyonlar gayet iyi dolu dolu veriyorlar
başka restoranlara gitsen yemekleri az veriyorlar fazla para alıyorlar"
ChIJU8noSZW5yhQR9q4nVHACuIk,Balkan Lokantası Sirkeci,İ.,4,7 ay önce,"Aslında çorba ve ana yemekte aldım. Fakat o kadar acıkmıştık ki resim çekmek ana yemek bittikten sonra aklıma geldi. Çorba, beşamelli patlıcanlı et yemeği, ortak kadınbudu köfte ve ortak içli köfte söyledik. Çorba güzeldi. Tuzu az, kişiye göre bırakılmış. Beşamelli patlıcanlı et açıkçası görsel olarak iyi, lezzet olarak vasattı. Kadınbudu köfte başarılı idi. Ağır değil, oranında pişmişti. Tabakta 2 adet konulmuş, patates ile sunum yapılmıştı. İçli köfte ise dışı çok güzel pişmiş olmasına rağmen, içi ne yazık ki lezzet ve malzemeleri bakımından çok kötüydü. Bir esnaf lokantası görünümünde olan büyük bir işletme. 1 çeyrek dilim ekmeğe 7,5 TL yazsalarda, İstanbul piyasasına göre fiyatları makuldü. Yine gider miyim? Evet giderim. Aynı yemekleri söyler miyim? Çorbayı ve kadınbudunu söylerim, diğer yemekleri denerim."
ChIJU8noSZW5yhQR9q4nVHACuIk,Balkan Lokantası Sirkeci,M. S.,1,3 ay önce,"Sütlaç, aşure, çorba yedik. Çorba fena değil ama aşure sütlaç berbat. Eklediğim video ve fotograflara bakınız. Tavsiye etmiyoruz."
ChIJxW6MtRfHyhQRhNjBpEC84YY,TARİHİ ŞEN LOKANTASI,H. Ö.,4,2 ay önce,beyran vasattı.digerleri orman kebap bulgur pilavı guzeldi ve pide tazeydi fakat %80 manda sütü ile yapıldığı söylenen yoğurt ve taze fasulye efsaneydi.esnaf lokabtasi konseptine nazaran fiyatlar bir tık yukarida
ChIJxW6MtRfHyhQRhNjBpEC84YY,TARİHİ ŞEN LOKANTASI,H. E.,5,2 ay önce,Kuzu haşlama deneyimledim. Gerçekten çok lezzetli tavsiye ederim fiyatı da bana uygun geldi.10.04.2026 tarihinde 635 tl ödedim. Bu paraya o tarihte 0.09 gr altın alabilirdiniz
ChIJxW6MtRfHyhQRhNjBpEC84YY,TARİHİ ŞEN LOKANTASI,E. B.,5,2 ay önce,"Tavuk suyu çorba ile başladık, standart bir esnaf lokantası çorbasıydı. Yemeklerde ise nohut ve kuzu haşlama çok lezzetliydi. Nohutlar iri taneli ve yumuşacıktı, kuzu haşlama ise kurabiye gibi dağılıyordu ve terbiyesinin lezzeti yerindeydi. Masada üzen tek şey sütlaç oldu, klasik esnaf usülü nişastalı ve vanilyalı yerine daha sulu ve farklı bir versiyon denenmiş kötü değil ama benim beklentimi karşılamadı. 3 kişi birer çorba ana yemekle kişi başı 750 TL tuttu."
