Place ID,Place Name,City,Category,Address,Latitude,Longitude,Types,Average Rating,Total Review Count,Price Level
ChIJ8dnNkjHHyhQR6qGMKqvMx9Q,01ADANA KEBAPÇISI ALİ USTA,Adana,Kebab Restaurant,"Bağlarbaşı, Atatürk Cd. No:58, 34844 Maltepe/İstanbul, Türkiye",40.925697,29.13218,"restaurant, food, point_of_interest, establishment",3.5,188.0,PRICE_LEVEL_INEXPENSIVE
ChIJO5-LlF2PKBURwvngJ8H06VY,Kebapçı Bayram Usta,Adana,Kebab Restaurant,"Kuruköprü, 33007. Sk. No:4, 01060 Seyhan/Adana, Türkiye",36.9891225,35.3235877,"kebab_shop, restaurant, food, point_of_interest, establishment",2.6,1072.0,PRICE_LEVEL_VERY_EXPENSIVE
ChIJb9zfnl-PKBURH7wUGdhDh1Q,Kebapçı Mesut hakim yenigün,Adana,Kebab Restaurant,"Kocavezır mahallesi karacaoğlan caddesi, Kocavezir, 32023. Sk. No:41, 01120 Seyhan/Adana, Türkiye",36.9845751,35.3222628,"restaurant, kebab_shop, food, point_of_interest, establishment",2.2,781.0,PRICE_LEVEL_MODERATE
ChIJf5zPRjSPKBUR7jq4gkzirEs,Ceyhan Kebap Salonu,Adana,Kebab Restaurant,"Namık Kemal, Mücahitler Cd. 102/A, 01140 Seyhan/Adana, Türkiye",37.0109199,35.3066447,"restaurant, kebab_shop, food, point_of_interest, establishment",4.1,903.0,PRICE_LEVEL_MODERATE
ChIJ81fXf1-PKBURVVpIWWqetok,Şırdancı Bedo,Adana,Kebab Restaurant,"Kocavezir, Karacaoğlan Cd. No:8, 01060 Seyhan/Adana, Türkiye",36.983713,35.3217627,"restaurant, food, point_of_interest, establishment",3.1,1036.0,PRICE_LEVEL_INEXPENSIVE
ChIJySboy1uPKBURQ31AaIx2EWA,Kebapçı Cik Cik Ali,Adana,Kebab Restaurant,"Döşeme, Kurtuluş Cd. No:70/A D:01130, 01130 Seyhan/Adana, Türkiye",36.9920651,35.313732,"kebab_shop, restaurant, food, point_of_interest, establishment",4.5,1025.0,PRICE_LEVEL_VERY_EXPENSIVE
ChIJbZtCRnbPyhQRTUZAkwoKdW4,Adana kebapçısı Rıdvan Usta,Adana,Kebab Restaurant,"Yukarı Dudullu, Tavukçuyolu Cd No:235 D:1A, 34775 Ümraniye/İstanbul, Türkiye",41.0053235,29.1478143,"restaurant, food, point_of_interest, establishment",4.0,73.0,PRICE_LEVEL_MODERATE
ChIJg285kbWHKBURJkCNwK3w55I,Kifidis Büyüksaat Kebapçısı,Adana,Kebab Restaurant,"Öğretmenler bulvarı, Gürselpaşa, 75545 sokak No:12/1H, 01200 Seyhan/Adana, Türkiye",37.0082917,35.251272,"kebab_shop, restaurant, food, point_of_interest, establishment",4.4,38.0,PRICE_LEVEL_EXPENSIVE
ChIJd_zMJTvJyhQRT3RSYUfJBEE,Adana Kebapçısı Naci Usta,Adana,Kebab Restaurant,"Bulgurlu, İzzettinbey Sokağı D:9/B, 34696 Üsküdar/İstanbul, Türkiye",41.0227292,29.0807509,"kebab_shop, restaurant, food, point_of_interest, establishment",2.8,381.0,PRICE_LEVEL_EXPENSIVE
ChIJuftFfGGPKBURX8XRCG7FVB8,Tarihi Büyüksaat Ciğercisi Memet Usta,Adana,Kebab Restaurant,"Sarıyakup, 23002. Sk. No:5, 01020 Seyhan/Adana, Türkiye",36.9836827,35.3298708,"restaurant, point_of_interest, food, establishment",4.1,1556.0,PRICE_LEVEL_EXPENSIVE
ChIJHbGS5xSPKBURc72uwaemZMs,Büyük Adana Kebap,Adana,Kebab Restaurant,"Cemal Paşa Mah toros Caddesi 63010 sokak, Sümer towers sti, Cemalpaşa, Toros Cd. 2 /c c blok, 01200 Seyhan/Adana, Türkiye",37.0008121,35.3298885,"kebab_shop, turkish_restaurant, restaurant, point_of_interest, food, establishment",2.8,106.0,PRICE_LEVEL_VERY_EXPENSIVE
ChIJKQFa-JyPKBURIeQ8p9ZAetg,Eski Dostlar,Adana,Kebab Restaurant,"Cem Apartmanı, Kurtuluş, Ramazanoğlu Cd. No:20 D:G, 01130 Seyhan/Adana, Türkiye",36.9980168,35.3190163,"turkish_restaurant, kebab_shop, restaurant, point_of_interest, food, establishment",4.8,1903.0,PRICE_LEVEL_EXPENSIVE
